Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId,CustomerPriority__c,SLA__c,Active__c,NumberofLocations__c,UpsellOpportunity__c,SLASerialNumber__c,SLAExpirationDate__c,,PrimaryContact__c,Sector__c,Tier__c
70012,,,Contoso Suites Ltd 3,Account,6005,,,,,,,,,,,,,,,,,,,,contososuites_ltd_3.com,,,Financial Services,950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5009,Commercial Finance,Tier 2
70013,,,Contoso Suites Corp 7,Account,6005,,,,,,,,,,,,,,,,,,,,contososuites_corp_7.com,,,Financial Services,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5141,Commercial Finance,Tier 2
70014,,,Contoso Suites LLC 7,Account,6005,,,,,,,,,,,,,,,,,,,,contososuites_llc_7.com,,,Financial Services,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5051,Commercial Finance,Tier 2
70015,,,Contoso Suites Inc 0,Account,6005,,,,,,,,,,,,,,,,,,,,contososuites_inc_0.com,,,Financial Services,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5066,Commercial Finance,Tier 3
70016,,,Contoso Suites pte.Ltd 8,Account,6005,,,,,,,,,,,,,,,,,,,,contososuites_pte.ltd_8.com,,,Financial Services,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5159,Commercial Finance,Tier 3
70017,,,Consolidated Messenger LLC 3,Account,6006,,,,,,,,,,,,,,,,,,,,consolidatedmessenger_llc_3.com,,,Financial Services,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5081,Commercial Finance,Tier 3
70018,,,"Fabrikam, Inc. Corp 7",Account,6007,,,,,,,,,,,,,,,,,,,,fabrikam_corp_7.com,,,Financial Services,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5035,Commercial Finance,Tier 2
70019,,,"Fabrikam, Inc. LLC 8",Account,6007,,,,,,,,,,,,,,,,,,,,fabrikam_llc_8.com,,,Financial Services,950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5042,Commercial Finance,Tier 2
70020,,,Fabrikam Residences Corp 0,Account,6008,,,,,,,,,,,,,,,,,,,,fabrikamresidences_corp_0.com,,,Financial Services,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5137,Commercial Finance,Tier 2
70021,,,First Up Consultants Ltd 8,Account,6009,,,,,,,,,,,,,,,,,,,,firstupconsultants_ltd_8.com,,,Financial Services,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5029,Commercial Finance,Tier 1
70022,,,First Up Consultants LLC 5,Account,6009,,,,,,,,,,,,,,,,,,,,firstupconsultants_llc_5.com,,,Financial Services,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5150,Commercial Finance,Tier 1
70023,,,Fourth Coffee Corp 0,Account,6010,,,,,,,,,,,,,,,,,,,,fourthcoffee_corp_0.com,,,Financial Services,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5072,Commercial Finance,Tier 2
70024,,,Fourth Coffee Corp 8,Account,6010,,,,,,,,,,,,,,,,,,,,fourthcoffee_corp_8.com,,,Financial Services,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5070,Commercial Finance,Tier 3
70025,,,Graphic Design Institute Ltd 9,Account,6011,,,,,,,,,,,,,,,,,,,,graphicdesigninstitute_ltd_9.com,,,Financial Services,650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5116,Commercial Finance,Tier 1
70026,,,Graphic Design Institute LLC 4,Account,6011,,,,,,,,,,,,,,,,,,,,graphicdesigninstitute_llc_4.com,,,Financial Services,650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5166,Commercial Finance,Tier 2
70027,,,Graphic Design Institute LLC 8,Account,6011,,,,,,,,,,,,,,,,,,,,graphicdesigninstitute_llc_8.com,,,Financial Services,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5067,Commercial Finance,Tier 1
70028,,,Humongous Insurance Ltd 9,Account,6012,,,,,,,,,,,,,,,,,,,,humongousinsurance_ltd_9.com,,,Financial Services,650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5087,Commercial Finance,Tier 2
70029,,,Lamna Healthcare Company Ltd 2,Account,6013,,,,,,,,,,,,,,,,,,,,lamnahealthcare_ltd_2.com,,,Financial Services,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5137,Commercial Finance,Tier 2
70030,,,Lamna Healthcare Company Ltd 7,Account,6013,,,,,,,,,,,,,,,,,,,,lamnahealthcare_ltd_7.com,,,Financial Services,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5158,Commercial Finance,Tier 1
70031,,,Lamna Healthcare Company Corp 7,Account,6013,,,,,,,,,,,,,,,,,,,,lamnahealthcare_corp_7.com,,,Financial Services,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5095,Commercial Finance,Tier 2
70032,,,Lamna Healthcare Company Inc 3,Account,6013,,,,,,,,,,,,,,,,,,,,lamnahealthcare_inc_3.com,,,Financial Services,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5090,Commercial Finance,Tier 3
70033,,,Lamna Healthcare Company Inc 5,Account,6013,,,,,,,,,,,,,,,,,,,,lamnahealthcare_inc_5.com,,,Financial Services,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5033,Commercial Finance,Tier 2
70034,,,Liberty's Delightful Sinful Bakery & Cafe Ltd 0,Account,6014,,,,,,,,,,,,,,,,,,,,libertysdelightfulsinfulbakeryandcafe_ltd_0.com,,,Financial Services,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5165,Commercial Finance,Tier 1
70035,,,Liberty's Delightful Sinful Bakery & Cafe Ltd 2,Account,6014,,,,,,,,,,,,,,,,,,,,libertysdelightfulsinfulbakeryandcafe_ltd_2.com,,,Financial Services,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5083,Commercial Finance,Tier 2
70036,,,Liberty's Delightful Sinful Bakery & Cafe Inc 2,Account,6014,,,,,,,,,,,,,,,,,,,,libertysdelightfulsinfulbakeryandcafe_inc_2.com,,,Financial Services,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5035,Commercial Finance,Tier 3
70037,,,Lucerne Publishing Corp 1,Account,6015,,,,,,,,,,,,,,,,,,,,lucernepublishing_corp_1.com,,,Financial Services,950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5141,Commercial Finance,Tier 1
70038,,,Lucerne Publishing LLC 3,Account,6015,,,,,,,,,,,,,,,,,,,,lucernepublishing_llc_3.com,,,Financial Services,950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5167,Commercial Finance,Tier 3
70039,,,Lucerne Publishing LLC 7,Account,6015,,,,,,,,,,,,,,,,,,,,lucernepublishing_llc_7.com,,,Financial Services,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5026,Commercial Finance,Tier 2
70040,,,Lucerne Publishing pte.Ltd 4,Account,6015,,,,,,,,,,,,,,,,,,,,lucernepublishing_pte.ltd_4.com,,,Financial Services,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5094,Commercial Finance,Tier 2
70041,,,Lucerne Publishing pte.Ltd 6,Account,6015,,,,,,,,,,,,,,,,,,,,lucernepublishing_pte.ltd_6.com,,,Financial Services,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5087,Commercial Finance,Tier 3
70042,,,Munson's Pickles and Preserves Farm Corp 2,Account,6017,,,,,,,,,,,,,,,,,,,,munsonspicklesandpreservesfarm_corp_2.com,,,Financial Services,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5053,Commercial Finance,Tier 2
70043,,,Munson's Pickles and Preserves Farm Corp 4,Account,6017,,,,,,,,,,,,,,,,,,,,munsonspicklesandpreservesfarm_corp_4.com,,,Financial Services,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5079,Commercial Finance,Tier 1
70044,,,Munson's Pickles and Preserves Farm LLC 7,Account,6017,,,,,,,,,,,,,,,,,,,,munsonspicklesandpreservesfarm_llc_7.com,,,Financial Services,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5065,Commercial Finance,Tier 1
70045,,,Munson's Pickles and Preserves Farm Inc 1,Account,6017,,,,,,,,,,,,,,,,,,,,munsonspicklesandpreservesfarm_inc_1.com,,,Financial Services,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5080,Commercial Finance,Tier 1
70046,,,Munson's Pickles and Preserves Farm Inc 8,Account,6017,,,,,,,,,,,,,,,,,,,,munsonspicklesandpreservesfarm_inc_8.com,,,Financial Services,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5128,Commercial Finance,Tier 3
70047,,,Nod Publishers Corp 4,Account,6018,,,,,,,,,,,,,,,,,,,,nodpublishers_corp_4.com,,,Financial Services,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5063,Commercial Finance,Tier 1
70048,,,Nod Publishers LLC 2,Account,6018,,,,,,,,,,,,,,,,,,,,nodpublishers_llc_2.com,,,Financial Services,650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5031,Commercial Finance,Tier 2
70049,,,Nod Publishers pte.Ltd 8,Account,6018,,,,,,,,,,,,,,,,,,,,nodpublishers_pte.ltd_8.com,,,Financial Services,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5029,Commercial Finance,Tier 1
70050,,,Northwind Traders Corp 4,Account,6019,,,,,,,,,,,,,,,,,,,,northwindtraders_corp_4.com,,,Financial Services,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5105,Commercial Finance,Tier 2
70051,,,Northwind Traders Corp 7,Account,6019,,,,,,,,,,,,,,,,,,,,northwindtraders_corp_7.com,,,Financial Services,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5091,Commercial Finance,Tier 3
70052,,,"Proseware, Inc. pte.Ltd 2",Account,6020,,,,,,,,,,,,,,,,,,,,proseware_pte.ltd_2.com,,,Financial Services,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5036,Commercial Finance,Tier 2
70053,,,"Proseware, Inc. pte.Ltd 7",Account,6020,,,,,,,,,,,,,,,,,,,,proseware_pte.ltd_7.com,,,Financial Services,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5117,Commercial Finance,Tier 1
70054,,,"Proseware, Inc. pte.Ltd 8",Account,6020,,,,,,,,,,,,,,,,,,,,proseware_pte.ltd_8.com,,,Financial Services,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5061,Commercial Finance,Tier 1
70055,,,Relecloud Ltd 1,Account,6021,,,,,,,,,,,,,,,,,,,,relecloud_ltd_1.com,,,Financial Services,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5153,Commercial Finance,Tier 3
70056,,,Relecloud Ltd 7,Account,6021,,,,,,,,,,,,,,,,,,,,relecloud_ltd_7.com,,,Financial Services,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5083,Commercial Finance,Tier 2
70057,,,Southridge Video LLC 6,Account,6022,,,,,,,,,,,,,,,,,,,,southridgevideo_llc_6.com,,,Financial Services,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5009,Commercial Finance,Tier 2
70058,,,Southridge Video pte.Ltd 8,Account,6022,,,,,,,,,,,,,,,,,,,,southridgevideo_pte.ltd_8.com,,,Financial Services,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,Commercial Finance,Tier 2
70059,,,Tailspin Toys Ltd 0,Account,6023,,,,,,,,,,,,,,,,,,,,tailspintoys_ltd_0.com,,,Financial Services,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5132,Commercial Finance,Tier 3
70060,,,Tailspin Toys Ltd 3,Account,6023,,,,,,,,,,,,,,,,,,,,tailspintoys_ltd_3.com,,,Financial Services,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5007,Commercial Finance,Tier 1
70061,,,Tailspin Toys Ltd 5,Account,6023,,,,,,,,,,,,,,,,,,,,tailspintoys_ltd_5.com,,,Financial Services,650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5114,Commercial Finance,Tier 3
70062,,,Tailspin Toys pte.Ltd 2,Account,6023,,,,,,,,,,,,,,,,,,,,tailspintoys_pte.ltd_2.com,,,Financial Services,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5030,Commercial Finance,Tier 2
70063,,,Tailwind Traders pte.Ltd 5,Account,6024,,,,,,,,,,,,,,,,,,,,tailwindtraders_pte.ltd_5.com,,,Financial Services,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5091,Commercial Finance,Tier 3
70064,,,"VanArsdel, Ltd. Inc 5",Account,6026,,,,,,,,,,,,,,,,,,,,vanarsdelltd_inc_5.com,,,Financial Services,950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5024,Commercial Finance,Tier 2
70065,,,"VanArsdel, Ltd. pte.Ltd 2",Account,6026,,,,,,,,,,,,,,,,,,,,vanarsdelltd_pte.ltd_2.com,,,Financial Services,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5043,Commercial Finance,Tier 2
70066,,,Wide World Importers Ltd 3,Account,6027,,,,,,,,,,,,,,,,,,,,wideworldimporters_ltd_3.com,,,Financial Services,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5115,Commercial Finance,Tier 1
70067,,,Wide World Importers Inc 0,Account,6027,,,,,,,,,,,,,,,,,,,,wideworldimporters_inc_0.com,,,Financial Services,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5129,Commercial Finance,Tier 1
70068,,,Wide World Importers pte.Ltd 2,Account,6027,,,,,,,,,,,,,,,,,,,,wideworldimporters_pte.ltd_2.com,,,Financial Services,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5062,Commercial Finance,Tier 2
70069,,,Wide World Importers pte.Ltd 8,Account,6027,,,,,,,,,,,,,,,,,,,,wideworldimporters_pte.ltd_8.com,,,Financial Services,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5151,Commercial Finance,Tier 1
70070,,,Wingtip Toys Ltd 7,Account,6028,,,,,,,,,,,,,,,,,,,,wingtiptoys_ltd_7.com,,,Financial Services,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5169,Commercial Finance,Tier 2
70071,,,Woodgrove Bank Ltd 5,Account,6029,,,,,,,,,,,,,,,,,,,,woodgrovebank_ltd_5.com,,,Financial Services,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5120,Commercial Finance,Tier 2
70072,,,Woodgrove Bank Corp 0,Account,6029,,,,,,,,,,,,,,,,,,,,woodgrovebank_corp_0.com,,,Financial Services,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5034,Commercial Finance,Tier 2
70073,,,Woodgrove Bank LLC 2,Account,6029,,,,,,,,,,,,,,,,,,,,woodgrovebank_llc_2.com,,,Financial Services,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5160,Commercial Finance,Tier 2
70074,,,Woodgrove Bank pte.Ltd 4,Account,6029,,,,,,,,,,,,,,,,,,,,woodgrovebank_pte.ltd_4.com,,,Financial Services,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5120,Commercial Finance,Tier 3
70075,,,Woodgrove Bank pte.Ltd 5,Account,6029,,,,,,,,,,,,,,,,,,,,woodgrovebank_pte.ltd_5.com,,,Financial Services,650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100,Commercial Finance,Tier 2
70076,,,Adatum Corporation Ltd 1,Account,6000,,,,,,,,,,,,,,,,,,,,adatum_ltd_1.com,,,Healthcare,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5148,Healthcare Services,Tier 3
70077,,,Adatum Corporation Ltd 7,Account,6000,,,,,,,,,,,,,,,,,,,,adatum_ltd_7.com,,,Healthcare,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5002,Healthcare Services,Tier 1
70078,,,Adatum Corporation pte.Ltd 7,Account,6000,,,,,,,,,,,,,,,,,,,,adatum_pte.ltd_7.com,,,Healthcare,650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5171,Healthcare Services,Tier 1
70079,,,Adventure Works Cycles Corp 2,Account,6001,,,,,,,,,,,,,,,,,,,,adventure-works_corp_2.com,,,Healthcare,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5140,Healthcare Services,Tier 3
70080,,,Adventure Works Cycles LLC 0,Account,6001,,,,,,,,,,,,,,,,,,,,adventure-works_llc_0.com,,,Healthcare,950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5031,Healthcare Services,Tier 1
70081,,,Adventure Works Cycles Inc 0,Account,6001,,,,,,,,,,,,,,,,,,,,adventure-works_inc_0.com,,,Healthcare,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5123,Healthcare Services,Tier 2
70082,,,Adventure Works Cycles Inc 5,Account,6001,,,,,,,,,,,,,,,,,,,,adventure-works_inc_5.com,,,Healthcare,650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5050,Healthcare Services,Tier 1
70083,,,Adventure Works Cycles pte.Ltd 8,Account,6001,,,,,,,,,,,,,,,,,,,,adventure-works_pte.ltd_8.com,,,Healthcare,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5074,Healthcare Services,Tier 1
70084,,,Bellows College Ltd 0,Account,6003,,,,,,,,,,,,,,,,,,,,bellowscollege_ltd_0.com,,,Healthcare,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5082,Healthcare Services,Tier 2
70085,,,Bellows College Corp 6,Account,6003,,,,,,,,,,,,,,,,,,,,bellowscollege_corp_6.com,,,Healthcare,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5042,Healthcare Services,Tier 3
70086,,,Bellows College Corp 8,Account,6003,,,,,,,,,,,,,,,,,,,,bellowscollege_corp_8.com,,,Healthcare,650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5002,Healthcare Services,Tier 2
70087,,,Bellows College pte.Ltd 8,Account,6003,,,,,,,,,,,,,,,,,,,,bellowscollege_pte.ltd_8.com,,,Healthcare,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5129,Healthcare Services,Tier 3
70088,,,Best For You Organics Company Ltd 0,Account,6004,,,,,,,,,,,,,,,,,,,,bestforyouorganics_ltd_0.com,,,Healthcare,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,Healthcare Services,Tier 1
70089,,,Contoso Suites Ltd 0,Account,6005,,,,,,,,,,,,,,,,,,,,contososuites_ltd_0.com,,,Healthcare,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5134,Healthcare Services,Tier 3
70090,,,Contoso Suites Corp 3,Account,6005,,,,,,,,,,,,,,,,,,,,contososuites_corp_3.com,,,Healthcare,650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5067,Healthcare Services,Tier 2
70091,,,Contoso Suites LLC 8,Account,6005,,,,,,,,,,,,,,,,,,,,contososuites_llc_8.com,,,Healthcare,950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5076,Healthcare Services,Tier 3
70092,,,Contoso Suites pte.Ltd 4,Account,6005,,,,,,,,,,,,,,,,,,,,contososuites_pte.ltd_4.com,,,Healthcare,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5160,Healthcare Services,Tier 1
70093,,,Consolidated Messenger Ltd 9,Account,6006,,,,,,,,,,,,,,,,,,,,consolidatedmessenger_ltd_9.com,,,Healthcare,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5024,Healthcare Services,Tier 3
70094,,,Consolidated Messenger Corp 0,Account,6006,,,,,,,,,,,,,,,,,,,,consolidatedmessenger_corp_0.com,,,Healthcare,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5113,Healthcare Services,Tier 1
70095,,,Consolidated Messenger Inc 5,Account,6006,,,,,,,,,,,,,,,,,,,,consolidatedmessenger_inc_5.com,,,Healthcare,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5022,Healthcare Services,Tier 2
70096,,,Consolidated Messenger Inc 9,Account,6006,,,,,,,,,,,,,,,,,,,,consolidatedmessenger_inc_9.com,,,Healthcare,950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5129,Healthcare Services,Tier 3
70097,,,"Fabrikam, Inc. Inc 1",Account,6007,,,,,,,,,,,,,,,,,,,,fabrikam_inc_1.com,,,Healthcare,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5170,Healthcare Services,Tier 3
70098,,,"Fabrikam, Inc. Inc 2",Account,6007,,,,,,,,,,,,,,,,,,,,fabrikam_inc_2.com,,,Healthcare,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5052,Healthcare Services,Tier 3
70099,,,"Fabrikam, Inc. Inc 3",Account,6007,,,,,,,,,,,,,,,,,,,,fabrikam_inc_3.com,,,Healthcare,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5060,Healthcare Services,Tier 2
70100,,,First Up Consultants Corp 7,Account,6009,,,,,,,,,,,,,,,,,,,,firstupconsultants_corp_7.com,,,Healthcare,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5046,Healthcare Services,Tier 3
70101,,,Fourth Coffee LLC 4,Account,6010,,,,,,,,,,,,,,,,,,,,fourthcoffee_llc_4.com,,,Healthcare,650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5088,Healthcare Services,Tier 3
70102,,,Graphic Design Institute Corp 3,Account,6011,,,,,,,,,,,,,,,,,,,,graphicdesigninstitute_corp_3.com,,,Healthcare,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5156,Healthcare Services,Tier 2
